# side=client impl=SandBox.MapScene utc=2026-09-12T09:21:02.7903863Z
# borders=62,0..1700,1550 maxHeight=646.01 terrainSize=1600,1600
# sceneXmlCrc=146201570 navMeshCrc=3101457840 navMeshFaces=19396
x,y,terrain,face,faceGroup,faceIsland,heightOk,height,patchScene,patchU,patchV,envCurrent,envTypes,snow,rain
829.8125,16.1458,2,9364,2,2,1,50.5404,124,0.6,0.2,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
863.9375,16.1458,2,9365,2,2,1,50.4392,125,0.4,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
898.0625,16.1458,2,9366,2,2,1,52.3876,125,0.5333,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
932.1875,16.1458,2,9367,2,2,1,51.782,125,0.6667,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
966.3125,16.1458,2,9697,2,2,1,52.05,126,0.3333,0.1333,2,2|2|2|2|2|2|2|2|7|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1000.438,16.1458,2,9373,2,2,1,52.89,126,0.4667,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1034.563,16.1458,2,9377,2,2,1,53.6156,130,0.6,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1068.688,16.1458,2,9378,2,2,1,54.27,130,0.6667,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1102.813,16.1458,2,9379,2,2,1,53.712,130,0.8,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1136.938,16.1458,2,9380,2,2,1,54.9132,133,0.4667,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1171.063,16.1458,2,9380,2,2,1,54.9376,133,0.6,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1205.188,16.1458,2,9381,2,2,1,54.2016,134,0.5333,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1239.313,16.1458,2,9381,2,2,1,53.56,135,0.6667,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1273.438,16.1458,2,9381,2,2,1,54.17,135,0.8,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1307.563,16.1458,2,6872,2,2,1,53.1584,135,0.9333,0.1333,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1341.688,16.1458,5,6980,5,2,1,53.4816,135,0,0.2,5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,0,0
1375.813,16.1458,5,9388,5,2,1,54.22,136,0.8,0.0667,5,5|5|5|5|5|5|5|5|5|5|5|2|2|2|2|2|2|2|2|2|2|2|2|5|5|5|5|5|2|2|2|2|2|2|2|2|2|2|2|2|2|5|5|5|5|5|5|5|5,0,0
1409.938,16.1458,5,9389,5,2,1,56.6028,136,0.9333,0.0667,5,5|5|5|5|5|5|5|5|5|2|2|2|5|5|5|5|5|5|5|5|5|5|2|2|2|2|2|2|2|5|5|5|5|5|5|5|5|5|5|2|2|2|5|5|5|5|5|5|5,0,0
1444.063,16.1458,5,9389,5,2,1,58.198,136,0,0.1333,5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,0,0
1478.188,16.1458,5,9391,5,2,1,61.7096,136,0.1333,0.1333,5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|7|7|7|5|5|5|5|5|5|5|5|5|7|7|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,0,0
1512.313,16.1458,5,9391,5,2,1,65.048,136,0.2,0.1333,5,5|7|7|7|7|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|7|7|5,0,0
1546.438,16.1458,5,9394,5,2,1,67.488,137,0.8,0.1333,5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,0,0
1580.563,16.1458,5,9393,5,2,1,65.4257,137,0.9333,0.1333,5,5|5|5|5|5|5|5|5|5|5|5,0,0
1614.688,16.1458,1,-1,-1,-1,0,0,137,0.9333,0.1333,1,1,6,6
1648.813,16.1458,1,-1,-1,-1,0,0,137,0.9333,0.1333,1,1,6,6
1682.938,16.1458,1,-1,-1,-1,0,0,137,0.9333,0.1333,1,1,6,6
79.0625,48.4375,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
113.1875,48.4375,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
147.3125,48.4375,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
181.4375,48.4375,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
215.5625,48.4375,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
249.6875,48.4375,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
283.8125,48.4375,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
317.9375,48.4375,19,1028,19,2,1,41.19,255,1,1,19,19|19|19|19|19|19|18|18|18|18|18|18|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|18|18|18|18|18|18|18|19|19|19|19|19|19,0,0
352.0625,48.4375,18,1017,18,2,1,41.16,255,1,1,18,18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18,0,0
386.1875,48.4375,2,9315,2,2,1,46.29,255,1,1,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|20|18|18|20|20|2|2|2|2|2|2|2|20|18|18|20|20|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
420.3125,48.4375,2,9332,2,2,1,45.27,255,1,1,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|7|7|7|2|2|2|2|2|2|2|2|2|7|7|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
454.4375,48.4375,2,9331,2,2,1,45.3408,255,1,1,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
488.5625,48.4375,2,8651,2,2,1,45.39,255,1,1,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|11|2|2|2|2|2|2|2|2|2|2|2|11|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
522.6875,48.4375,2,9395,2,2,1,46.4448,255,1,1,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
556.8125,48.4375,2,9397,2,2,1,46.11,255,1,1,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|7|7|7|2|2|11|11|7|7|2|2|2|2|2|2|7|2|2|2|2|7|7|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
590.9375,48.4375,2,9402,2,2,1,46.92,255,1,1,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|7|11|2|2|11|11|7|2|2|2|2|2|2|11|2|2|11|11|7|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
625.0625,48.4375,2,9404,2,2,1,47.5344,123,0.5333,0.6667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|7|7|11|11|11|7|7|2|2|2|2|2|2|2|7|11|11|11|11|7|7|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
659.1875,48.4375,2,9405,2,2,1,49.0956,123,0.6667,0.6667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
693.3125,48.4375,2,9408,2,2,1,49.2264,123,0.8,0.6667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
727.4375,48.4375,2,9413,2,2,1,49.26,123,0.9333,0.6667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|11|11|2|2|2|2|2|2|2|2|2|2|11|11|11|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
761.5625,48.4375,2,9506,2,2,1,49.872,124,0.3333,0.6667,2,2|2|2|2|2|2|2|2|2|2|2|2|11|2|2|2|2|2|2|2|2|2|2|11|2|2|2|11|2|2|2|2|2|2|2|2|11|11|11|2|2|2|2|2|2|2|2|2|2,0,0
795.6875,48.4375,2,9362,2,2,1,50.1912,124,0.4667,0.6667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|11|2|2|2|2|2|11|2|2|2|2|2|11|2|2|2|2|2|11|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
829.8125,48.4375,2,9432,2,2,1,53.4492,119,0.6,0,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
863.9375,48.4375,2,9434,2,2,1,51.1704,125,0.4,0.4667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
898.0625,48.4375,2,9435,2,2,1,54.2712,125,0.5333,0.4667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
932.1875,48.4375,2,9436,2,2,1,53.502,125,0.6667,0.4667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
966.3125,48.4375,2,9534,2,2,1,54.1644,126,0.4667,0.4,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1000.438,48.4375,2,7024,2,2,1,54.4536,126,0.6,0.4,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1034.563,48.4375,2,7038,2,2,1,55.8,126,0.7333,0.4,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1068.688,48.4375,2,7015,2,2,1,56.19,130,0.6,0.4667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1102.813,48.4375,2,7015,2,2,1,56.82,130,0.7333,0.4667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1136.938,48.4375,2,6994,2,2,1,57.1836,133,0.1333,0.4667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1171.063,48.4375,2,6994,2,2,1,56.9976,133,0.2667,0.4667,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1205.188,48.4375,2,6992,2,2,1,55.71,134,0.4667,0.4,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1239.313,48.4375,2,6992,2,2,1,57.0216,134,0.6,0.4,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1273.438,48.4375,2,3818,2,2,1,55.68,134,0.6667,0.4,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0,0
1307.563,48.4375,2,6868,2,2,1,54.6492,135,0,0.6,2,2|2|2|2|2|2|2|2|2|17|11|5|5|5|5|5|5|5|5|5|5|5|5|5|2|11|11|5|5|5|5|5|5|5|5|5|5|5|5|5|11|17|2|2|2|2|2|2|2,0,0
1341.688,48.4375,2,6879,2,2,1,55.4916,136,0.2,0.3333,2,2|2|2|2|11|11|11|11|2|2|2|2|2|2|2|11|11|5|5|5|5|5|11|2|2|2|2|2|11|5|5|5|5|5|11|11|2|2|2|2|2|2|11|11|11|11|11|2|2,0,0
1375.813,48.4375,2,2899,2,2,1,55.8276,136,0.2667,0.3333,2,2|2|2|2|2|2|2|2|2|2|2|2|5|5|5|5|5|5|5|11|11|2|2|2|2|2|2|2|2|2|5|11|11|5|5|5|5|5|5|2|2|2|2|2|2|2|2|2|2,0,0
1409.938,48.4375,2,2757,2,2,1,57.6432,136,0.4,0.3333,2,2|2|2|2|2|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|2|2|2,0,0
1444.063,48.4375,5,2939,5,2,1,59.742,136,0.5333,0.3333,5,5|5|5|5|5|5|5|5|5|5|5|7|7|7|7|7|7|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|7|7|7|7|7|7|5|5|5|5|5|5|5|5|5,0,0
1478.188,48.4375,7,8921,7,2,1,64.5228,136,0.6667,0.3333,7,7|7|7|7|7|7|7|7|7|22|8|8|8|8|8|8|8|8|8|8|8|8|8|7|7|7|7|7|8|8|8|8|8|8|8|8|8|8|8|8|8|22|7|7|7|7|7|7|7,0,0
1512.313,48.4375,8,3816,8,2,1,64.61,137,0.6,0.4667,8,8|8|8|8|8|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|8|8,0,0
1546.438,48.4375,5,3499,5,2,1,69.0228,137,0.7333,0.4667,5,5|5|5|5|5|5|5|5|5|5|5|7|7|7|7|7|5|7|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|7|5|7|7|7|7|7|5|5|5|5|5|5|5|5|5,0,0
1580.563,48.4375,5,3501,5,2,1,69.8556,137,0.8667,0.4667,5,5|5|5|5|5|5|5|5|5|5|5,0,0
1614.688,48.4375,1,-1,-1,-1,0,0,137,0.8667,0.4667,1,1,6,6
1648.813,48.4375,1,-1,-1,-1,0,0,137,0.8667,0.4667,1,1,6,6
1682.938,48.4375,1,-1,-1,-1,0,0,137,0.8667,0.4667,1,1,6,6
79.0625,80.7292,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
113.1875,80.7292,19,1010,19,2,1,41.17,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
147.3125,80.7292,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
181.4375,80.7292,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
215.5625,80.7292,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
249.6875,80.7292,19,1010,19,2,1,41.18,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
283.8125,80.7292,19,1010,19,2,1,41.16,255,1,1,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19,0,0
